# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=1
Bx,By,Bz
3.627124801780408347e+01,1.701849055742454375e+00,-7.024639312571185901e-01
3.626005484837161674e+01,1.707297640126015592e+00,-6.619260574635372762e-01
3.624883852921434624e+01,1.712745373553113293e+00,-6.214041012122430985e-01
3.623759912671071959e+01,1.718192240036485074e+00,-5.808981691181777096e-01
3.622633670552814777e+01,1.723638226241041460e+00,-5.404083664522491004e-01
3.621505133252617270e+01,1.729083317097173778e+00,-4.999347988059625880e-01
3.620374307415136883e+01,1.734527498715771499e+00,-4.594775709732163982e-01
3.619241199773848194e+01,1.739970756922476935e+00,-4.190367875059892167e-01
3.618105816889811166e+01,1.745413080171043019e+00,-3.786125515742355119e-01
3.616968165542942870e+01,1.750854455158489031e+00,-3.382049666610975058e-01
3.615828252470845428e+01,1.756294869738733944e+00,-2.978141354240309013e-01
3.614686084433821378e+01,1.761734312186789442e+00,-2.574401599723794565e-01
3.613541668280141295e+01,1.767172770463463216e+00,-2.170831421526193128e-01
3.612395010683910357e+01,1.772610235126966360e+00,-1.767431823824525405e-01
3.611246118537663108e+01,1.778046694950324191e+00,-1.364203813849805547e-01
3.610094998690343004e+01,1.783482139833156399e+00,-9.611483902545391034e-02
3.608941658012498266e+01,1.788916560066127870e+00,-5.582665459567293792e-02
3.607786103461767624e+01,1.794349945596043439e+00,-1.555592710530918042e-02
3.606628341819916983e+01,1.799782288935219965e+00,2.469724590753576837e-02
3.605468380086700364e+01,1.805213580781852567e+00,6.493276660481969720e-02
3.604306225216932091e+01,1.810643812929639385e+00,1.051505380367761949e-01
3.603141884251798643e+01,1.816072976804323780e+00,1.453504635492436636e-01
3.601975364055219586e+01,1.821501066371186583e+00,1.855324479934135906e-01
3.600806671708688356e+01,1.826928073757924542e+00,2.256963959237815731e-01
3.599635814247717747e+01,1.832353992162444545e+00,2.658422128052427835e-01
3.598462798727435086e+01,1.837778815118028319e+00,3.059698047167832557e-01
3.597287632288441017e+01,1.843202535759177918e+00,3.460790780475670458e-01
